,noun_chunk,product,freq,overall_freq,Rank
47126,type,B012WF88QS.raw.json,134,653,46.0
34256,type,B00ZPN3O2I.raw.json,132,653,46.0
22714,type,B00N2278VC.raw.json,129,653,46.0
11179,type,B00CT9XO4E.raw.json,129,653,46.0
11184,tea kettle,B00CT9XO4E.raw.json,118,641,47.0
34253,tea kettle,B00ZPN3O2I.raw.json,138,641,47.0
47120,tea kettle,B012WF88QS.raw.json,149,641,47.0
22718,tea kettle,B00N2278VC.raw.json,118,641,47.0
45,tea kettle,B003KYSLNQ.raw.json,118,641,47.0
11191,work,B00CT9XO4E.raw.json,103,628,48.0
22727,work,B00N2278VC.raw.json,103,628,48.0
47115,work,B012WF88QS.raw.json,164,628,48.0
34248,work,B00ZPN3O2I.raw.json,155,628,48.0
52,work,B003KYSLNQ.raw.json,103,628,48.0
48,purchase,B003KYSLNQ.raw.json,111,618,49.0
47122,purchase,B012WF88QS.raw.json,144,618,49.0
34254,purchase,B00ZPN3O2I.raw.json,135,618,49.0
11187,purchase,B00CT9XO4E.raw.json,113,618,49.0
22721,purchase,B00N2278VC.raw.json,115,618,49.0
47119,great product,B012WF88QS.raw.json,150,595,50.0
11192,great product,B00CT9XO4E.raw.json,102,595,50.0
34252,great product,B00ZPN3O2I.raw.json,139,595,50.0
22726,great product,B00N2278VC.raw.json,103,595,50.0
54,great product,B003KYSLNQ.raw.json,101,595,50.0
11189,fact,B00CT9XO4E.raw.json,112,592,51.0
47125,fact,B012WF88QS.raw.json,135,592,51.0
50,fact,B003KYSLNQ.raw.json,110,592,51.0
34261,fact,B00ZPN3O2I.raw.json,121,592,51.0
22722,fact,B00N2278VC.raw.json,114,592,51.0
47,light,B003KYSLNQ.raw.json,111,585,52.0
47130,light,B012WF88QS.raw.json,125,585,52.0
22720,light,B00N2278VC.raw.json,115,585,52.0
11185,light,B00CT9XO4E.raw.json,113,585,52.0
34260,light,B00ZPN3O2I.raw.json,121,585,52.0
47124,hand,B012WF88QS.raw.json,136,576,53.0
